amfi_code,scheme_name,alpha,beta,tracking_error_nifty50,tracking_error_nifty100
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.2698375144191807,0.023683558075848626,0.1918171677226576,0.18786716876053186
120505,ICICI Pru Midcap Fund - Regular - Growth,0.2926358334175106,0.0005490042506317005,0.22831055627390562,0.23251471203241877
120843,Kotak Flexicap Fund - Regular - Growth,0.27330465038306057,-0.022829569792426566,0.20494646612315914,0.20641014797016702
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.2719535450128533,0.005103525830528331,0.22808080980197004,0.22483819480215925
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.2119482701352573,0.016232169761416993,0.18835967567495254,0.18731172438825305
119094,Axis Midcap Fund - Regular - Growth,0.2607666908004223,-0.06626542862803761,0.2387931703229289,0.23965780714308585
119551,SBI Bluechip Fund - Regular Plan - Growth,0.23201007160635082,-0.03175144113890976,0.19323452148116282,0.19347526978517815
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.2827036785246582,0.018133884083859218,0.22112574718859174,0.21692421151826893
119598,SBI Small Cap Fund - Regular Plan - Growth,0.3033696538698332,-0.0231960620440597,0.2817980353289052,0.28677166044443203
101206,ABSL Frontline Equity Fund - Regular - Growth,0.21399784776051212,0.021086316250128002,0.1902881348892149,0.18885223020556585
149324,DSP Small Cap Fund - Regular - Growth,0.3005787817097677,0.011455159960520721,0.27159523563094207,0.27886789641361387
149323,DSP Midcap Fund - Regular - Growth,0.26598577542043045,-0.0025230046646992563,0.214990226328836,0.21509781416797139
118632,Nippon India Large Cap Fund - Regular - Growth,0.21829397904608644,-0.00835383212696199,0.1834618342891444,0.19019486441902816
119552,SBI Bluechip Fund - Direct Plan - Growth,0.1986859936686296,-0.02615930751351343,0.18987293266252567,0.19075797999169275
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.17729754927531766,0.0488204042595774,0.19683189008930127,0.19147501085624372
118633,Nippon India Large Cap Fund - Direct - Growth,0.15643835948169668,-0.036639006718609354,0.18863980918074763,0.19271613831519432
118635,Nippon India ETF Nifty 50 BeES,0.1513635464823924,-0.0014335213897801022,0.18497493945092383,0.17904079192673475
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.17048756803412696,-0.019486785689474546,0.1816508490621892,0.1790732138243324
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.17703302365844073,-0.040268952369820595,0.18972333364019245,0.18720254716141252
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.20873010086942337,-0.02638771994384303,0.20368702847533135,0.20548342890616947
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.1625385327998104,0.041896462728119754,0.20019405141376134,0.19680151400921336
119093,Axis Bluechip Fund - Direct - Growth,0.08232801295222093,0.02588321244009314,0.19280887191653173,0.18675365537719604
102887,UTI Flexi Cap Fund - Regular - Growth,0.16211256794033255,0.016682689437770855,0.2020018342831797,0.2017615661845301
149322,DSP Top 100 Equity Fund - Regular - Growth,0.13173190226099432,-0.004050271130006519,0.19045365986959445,0.19363654195771202
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.11989100971217971,0.009054412621739153,0.22478985662223297,0.22276821774034475
118634,Nippon India Small Cap Fund - Regular - Growth,0.1750072167561127,0.10349663691337586,0.290247168289108,0.275135994805501
120841,Kotak Bluechip Fund - Regular - Growth,0.13042924450705445,0.036356399022199816,0.17552529040338202,0.1776247828422833
120507,ICICI Pru Liquid Fund - Regular - Growth,0.06746210411099539,-0.0004440926329707225,0.128535565565128,0.12784236742389216
120844,Kotak Liquid Fund - Regular - Growth,0.06455677495375998,-0.00040074423947840073,0.1283352501121947,0.12801367213486606
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.05074772999976104,0.0012566742731558612,0.13617823825228983,0.13556198915715884
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.05620895216638369,-0.006413850728276463,0.1337612500790676,0.13322762470177732
100025,HDFC Short Term Debt Fund - Regular - Growth,0.042817920315060876,0.0011582183155281454,0.13522050395083005,0.13360686214981282
101208,ABSL Liquid Fund - Regular - Growth,0.060861457957871144,0.0002667096833823833,0.12835003494639846,0.12763989399159054
120842,Kotak Emerging Equity Fund - Regular - Growth,0.0780443887615508,0.018056874208118145,0.2177306868165988,0.22031484495786444
119599,SBI Small Cap Fund - Direct Plan - Growth,0.048824215945539845,0.06200180438267165,0.27579830488027207,0.2723665638851444
119092,Axis Bluechip Fund - Regular - Growth,0.0689952982167755,0.009730745001153628,0.1922045533792453,0.1858209409998254
101207,ABSL Small Cap Fund - Regular - Growth,0.10897091901704538,-0.06528924788351527,0.2899800115464525,0.2929983547207924
119095,Axis Small Cap Fund - Regular - Growth,0.048015953637759554,-0.06695117463929204,0.28143949675011615,0.28342784880408023
102886,UTI Mid Cap Fund - Regular - Growth,0.028969397866379445,-0.042125029021894314,0.22346191760752046,0.223294629944714
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.03747580763443282,-0.05826843143880895,0.1946609667504284,0.19534541825693688
